medicine_id,medicine_name,medicine_usage,medicine_dosage,medicine_time_to_take
MED167,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED168,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED169,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED170,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED171,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED172,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED173,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED174,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED175,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED176,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED177,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED178,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED179,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED180,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED181,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED182,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED183,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED184,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED185,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED186,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED187,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED188,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED189,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED190,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED191,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED192,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED193,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED194,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED195,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED196,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED197,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED198,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED199,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED200,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED201,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED202,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED203,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED204,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED205,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED206,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED207,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED208,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED209,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED210,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED211,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED212,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED213,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED214,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED215,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED216,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED217,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED218,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED219,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED220,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED221,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED222,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED223,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED224,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED225,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED226,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED227,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED228,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED229,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED230,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED231,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED232,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED233,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED234,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED235,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED236,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED237,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED238,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED239,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED240,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED241,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED242,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED243,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED244,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED245,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED246,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED247,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED248,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED249,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED250,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
